charform,frequency,perMILL,zipf,CD_N,CD_percent,CD_log
扇,555,11.889581393332100,4.075166564310340,331,0.06396135265700480,2.519827993775720
轻,13141,281.51529565725600,5.449501996484260,3901,0.753816425120773,3.5911759503117900
伐,275,5.891234023723120,3.770206275017930,188,0.03632850241545890,2.27415784926368
致,8725,186.91278857085200,5.271639016818880,3525,0.6811594202898550,3.5471591213274200
旧,2641,56.57726929691910,4.752641982394590,1337,0.2583574879227050,3.1261314072619800
显,10290,220.4392658331310,5.343288955950100,3783,0.7310144927536230,3.577836341292740
允,1582,33.89066263829080,4.530080060349320,987,0.1907246376811590,2.9943171526696400
联,13151,281.72952234902800,5.449832358954100,3645,0.7043478260869570,3.5616975326539900
透,3337,71.48744704423290,4.854229787842460,1788,0.34550724637681200,3.2523675144599000
午,3819,81.81317358763130,4.912823239560980,1641,0.3171014492753620,3.215108581053090
八,10805,231.47194045937600,5.364498352406930,3612,0.6979710144927540,3.5577477416414700
伟,2574,55.14195046204840,4.741482123756030,936,0.1808695652173910,2.971275848738110
扑,757,16.216960567121500,4.209969460687740,444,0.08579710144927540,2.6473829701146200
莫,2454,52.571230160787400,4.720748139578650,1202,0.23227053140096600,3.079904467666720
互,12083,258.8501116678050,5.413048356672330,3553,0.6865700483091790,3.550595207489330
闺,608,13.02498285972240,4.114777160460400,338,0.06531400966183580,2.5289167002776500
蜜,1336,28.620686020705800,4.456680039327190,565,0.10917874396135300,2.7520484478194400
陷,2206,47.25840820484800,4.674479089291840,1311,0.25333333333333300,3.117602691690080
盲,876,18.76625819920530,4.273377687355750,536,0.10357487922705300,2.72916478969277
区,18660,399.74700684608500,5.601785220598150,4170,0.8057971014492750,3.6201360549737600
基,23793,509.7095677325240,5.7073227857849800,4713,0.9107246376811590,3.6732974397596400
咱,22460,481.1531497193500,5.682283333113110,3335,0.6444444444444450,3.523095838252570
兄,1497,32.069735758231000,4.506095381530720,817,0.1578743961352660,2.9122220565324200
弟,4565,97.7944847938038,4.990314363057980,1321,0.2552657004830920,3.1209028176145300
兴,11065,237.04183444544100,5.374824999450940,3771,0.7286956521739130,3.5764565324056200
趣,9839,210.7776420342250,5.323824541758110,3493,0.674975845410628,3.5431985856376500
玩,22432,480.5533149823890,5.68174157747423,4088,0.789951690821256,3.611510887126660
较,51493,1103.1175039402700,6.042621775898800,5097,0.984927536231884,3.707314633588710
辈,4199,89.95378787495780,4.954019455825610,2048,0.3957487922705310,3.3113299523037900
绪,10417,223.15994481863200,5.348616245349160,2494,0.48193236714975800,3.396896449142520
谊,1056,22.622338651096800,4.354537499385460,416,0.08038647342995170,2.6190933306267400
戚,1395,29.88462350215910,4.475447788797280,605,0.11690821256038600,2.781755374652470
电,47294,1013.1637160653100,6.0056796282219700,4340,0.8386473429951690,3.637489729512510
模,14618,313.156578031944,5.49576153873562,3497,0.6757487922705310,3.5436956323092400
似,12210,261.5707906533070,5.4175892451325500,4210,0.8135265700483090,3.6242820958356700
户,12783,273.8459800918280,5.437506370107780,2546,0.4919806763285020,3.4058583993176400
哥,10807,231.51478579773000,5.364578732655520,2339,0.4519806763285020,3.3690302218091500
运,16317,349.55369296396400,5.5435138947225,3849,0.743768115942029,3.585347911094590
氛,2914,62.4256579822879,4.795363128621640,1554,0.30028985507246400,3.1914510144649000
字,20729,444.0705093736600,5.647451932728840,4383,0.8469565217391300,3.6417714706539600
除,10518,225.3236344055270,5.352806747665100,4079,0.7882125603864740,3.6105537053170900
荐,6322,135.43411453810000,5.131728072691230,2109,0.40753623188405800,3.3240765797394900
找,29615,634.4323476820370,5.802385318164630,4911,0.9489855072463770,3.691169934131600
厌,2850,61.05460715494870,4.785718441196180,1356,0.2620289855072460,3.1322596895310400
童,2805,60.09058704197580,4.7788064467798500,1161,0.22434782608695700,3.064832219738570
羡,1176,25.193058952357800,4.401280902927790,717,0.13855072463768100,2.8555191556678
慕,1399,29.970314178867800,4.476691295679490,819,0.1582608695652170,2.9132839017604200
星,10520,225.36647974388100,5.352889321005390,2727,0.5269565217391300,3.43568513794163
李,6645,142.35363668232800,5.1533685664664200,1573,0.30396135265700500,3.196728722623290
幼,1036,22.193885267553300,4.34623333659688,568,0.1097584541062800,2.754348335711020
园,6423,137.59780412499500,5.138611503201770,1756,0.3393236714975850,3.244524511570080
冠,1302,27.89231526868180,4.4454845654198400,646,0.12483091787439600,2.8102325179950800
逢,365,7.8192742496688700,3.89316644564414,283,0.05468599033816430,2.45178643552429
伙,4380,93.83129099602640,4.972347691691770,1822,0.35207729468599000,3.2605483726369800
游,17947,384.47264372275900,5.584865443999840,3257,0.6293719806763290,3.512817758564870
谦,546,11.696777370737500,4.068066223892400,281,0.05429951690821260,2.44870631990508
虚,4240,90.83211731122190,4.9582394377804000,1773,0.3426086956521740,3.2487087356009200
唱,8106,173.65215635018000,5.239680180593340,1494,0.288695652173913,3.1743505974793800
仅,4185,89.65387050647730,4.952569043516940,2110,0.4077294685990340,3.3242824552976900
另,19237,412.1078869613150,5.615010926174680,4760,0.9198067632850240,3.677606952720490
层,13321,285.371376109148,5.455410409488940,3730,0.7207729468599030,3.571708831808690
欲,3389,72.60142584144600,4.860945150025040,1436,0.277487922705314,3.1571544399062800
财,5807,124.40143991185500,5.0948254072209900,1602,0.3095652173913040,3.204662511748220
富,6450,138.17621619277900,5.140433295822930,2613,0.504927536231884,3.4171394097273300
画,19666,421.2982120383230,5.6245896160137700,2990,0.5777777777777780,3.4756711883244300
攻,3642,78.02136114327130,4.892213522646570,1193,0.23053140096618400,3.076640443670340
改,14880,318.7693173563640,5.503476512397530,3899,0.7534299516908210,3.590953235187990
谢,11739,251.48071347085700,5.400504683808010,2769,0.5350724637681160,3.4423229557455700
球,10312,220.91056455502800,5.344216485533010,2433,0.4701449275362320,3.3861421089308200
滑,3133,67.11722253208920,4.826833976069370,1262,0.2438647342995170,3.1010593549081200
雪,4479,95.95213524456680,4.982054643632350,1191,0.2301449275362320,3.0759117614827800
靠,8138,174.33768176385000,5.241391266704930,3346,0.6465700483091790,3.5245259366263800
网,16559,354.7379789048410,5.549907687332470,3804,0.735072463768116,3.5802405082653800
供,6652,142.50359536656800,5.153825821735150,2608,0.5039613526570050,3.4163075870598800
劝,1182,25.321594967420800,4.403491057732900,650,0.12560386473430000,2.8129133566428600
追,7450,159.59888536995400,5.203029853935960,2945,0.5690821256038650,3.4690852991231200
斩,269,5.762698008660070,3.760625861190070,181,0.034975845410628000,2.2576785748691800
务,13480,288.7775805083190,5.460563473386970,3322,0.6419323671497580,3.521399628115380
敬,1925,41.23863816606190,4.615304315032190,940,0.18164251207729500,2.9731278535997000
绕,2171,46.50861478364690,4.667533404642090,1424,0.27516908212560400,3.1535099893008400
孤,2290,49.05791241573070,4.690709063527550,1059,0.2046376811594200,3.024895960107490
陋,239,5.120017933344820,3.709271482135800,186,0.035942028985507200,2.2695129442179200
寡,295,6.319687407266620,3.8006955971658300,199,0.03845410628019320,2.298853076409710
闻,4840,103.68571881752700,5.015718942832080,1874,0.3621256038647340,3.2727695865517600
烈,4769,102.16470930594800,5.009300903621530,2341,0.4523671497584540,3.3694014136966200
察,7478,160.19872010691500,5.204659042005870,2772,0.5356521739130430,3.442793225939770
嗯,5785,123.93014118995700,5.093176944475430,2744,0.5302415458937200,3.438384107034710
爹,777,16.645413950665000,4.22129459998858,359,0.0693719806763285,2.5550944485783200
娱,1559,33.397941247215800,4.523719696376510,793,0.1532367149758450,2.8992731873176000
乐,26504,567.7864238718460,5.7541850040615700,3950,0.7632850241545890,3.59659709562646
梁,1973,42.266926286566200,4.6260006664398600,593,0.11458937198067600,2.7730546933642600
芥,59,1.2639374814533200,3.1017255928298100,33,0.006376811594202900,1.5185139398778900
蒂,815,17.459475379397600,4.242031189927640,300,0.057971014492753600,2.4771212547196600
析,3759,80.52781343700080,4.9059459069014800,1668,0.32231884057971000,3.22219604630172
套,9325,199.76639007715700,5.30052242166839,3221,0.6224154589371980,3.5079907248196900
近,20035,429.20317696470100,5.632662927956380,4733,0.9145893719806760,3.6751365044679900
请,10350,221.72462598376100,5.3458139309806000,3604,0.6964251207729470,3.5567847823070300
半,13172,282.17939840174900,5.450525303227540,4004,0.773719806763285,3.602494068807280
根,12219,261.7635946759010,5.417909245993330,4148,0.8015458937198070,3.6178387477170000
古,8172,175.066052515874,5.243201939148080,2165,0.41835748792270500,3.3354579006893800
肉,7388,158.27067988096900,5.1994004679558700,1845,0.3565217391304350,3.265996370495080
准,13927,298.353513630516,5.474731156781620,4197,0.8110144927536230,3.62293896921149
议,8395,179.843307742384,5.254894281661730,2959,0.5717874396135270,3.471144965160630
逐,2772,59.38363895912910,4.773666807127440,1594,0.3080193236714980,3.2024883170600900
渐,2888,61.86866858368140,4.791470770085270,1485,0.28695652173913000,3.171726453653230
季,4806,102.95734806550300,5.012657347655550,1373,0.26531400966183600,3.137670537236760
偏,5651,121.05950352021600,5.082998888485560,2480,0.4792270531400970,3.3944516808262200
赌,1087,23.286441395589200,4.36710312527396,488,0.09429951690821260,2.6884198220027100
喝,11121,238.241503919363,5.377017421936890,2348,0.45371980676328500,3.370698092575580
缴,283,6.062615377140520,3.7826600167119600,96,0.01855072463768120,1.9822712330395700
