transcript_id,token_num,type_num,charactor_token_num,charactor_type_num,logTTR,duration,Wpm
transcript_1694,5261,1235,7697,921,0.8308546650709171,1799.3700000000006,256.6564964404207
transcript_263,5566,1020,8126,819,0.8032480229188141,1799.12,270.9991551425141
transcript_2410,5846,937,9156,701,0.7889171694444168,1799.4999999999995,305.28480133370385
transcript_33,5959,1040,8945,791,0.7991774234653597,1799.1500000000003,298.30753411333126
transcript_4061,6544,1338,9804,977,0.8193355636699552,1798.4300000000012,327.08529105942387
transcript_288,5422,1075,8251,817,0.8118047591431761,1797.7899999999995,275.3714282535781
transcript_1119,6561,1307,9862,946,0.8164265259497673,1799.7499999999998,328.77899708292824
transcript_3068,6204,919,8805,691,0.7813266415169627,1798.5400000000009,293.73825436187116
transcript_4707,6104,1344,8697,1020,0.8263913951359722,1799.47,289.98538458546125
transcript_2376,5695,1302,8526,940,0.8293479391713937,1799.25,284.3184660275115
transcript_4713,6218,1125,9109,866,0.8042787144862543,1799.639999999999,303.69407214776305
transcript_2362,6856,1515,10187,1071,0.8290807941936189,1799.3300000000006,339.69310799019627
transcript_2404,5516,1063,8152,808,0.8088822009461791,1797.6899999999996,272.08250588254936
transcript_4075,6260,1132,9478,875,0.8043689280988956,1799.3599999999988,316.0457051396054
transcript_27,4791,924,7739,723,0.805795805578846,1793.729999999999,258.8683915639479
transcript_1125,6249,1197,9307,877,0.8109188091458056,1799.8099999999995,310.2660836421623
transcript_3732,6241,1319,8900,958,0.8221438263258848,1799.4899999999998,296.75074604471274
transcript_3054,5788,1049,8607,814,0.8028578308900008,1798.12,287.1999644072698
transcript_1643,6528,1129,9412,813,0.8002280145369044,1799.12,313.8867890968918
transcript_1657,4692,863,6965,723,0.7997070274708772,1799.5600000000004,232.2234323945853
transcript_3040,6188,1136,9037,844,0.805838795630321,1797.1599999999994,301.7093636626679
transcript_2438,5652,1192,8805,897,0.8198588801511983,1798.06,293.81666907667153
transcript_4049,5982,1379,9196,999,0.8312660686830533,1799.9399999999987,306.5435514517153
transcript_3726,6823,1165,10348,836,0.7997771577594662,1799.760000000001,344.9793305774101
transcript_1131,6381,1100,10193,786,0.7993381381930688,1799.199999999999,339.91774121831946
transcript_3861,5835,1323,8845,948,0.8288704132305615,1798.2200000000005,295.1251793440179
transcript_4868,6064,1111,8810,858,0.8051567397892275,1799.2300000000007,293.79234450292614
transcript_459,5525,1365,8597,981,0.8377483384244216,1793.230000000001,287.6485448046261
transcript_1910,5856,1550,8607,1118,0.8467806544659543,1797.949999999999,287.2271197752998
transcript_1904,6513,1289,9327,962,0.8155300090907402,1799.0699999999993,311.0607147025965
transcript_3875,6074,1190,9207,892,0.8128895087359357,1799.1000000000004,307.0535267633816
transcript_3685,5759,1452,8226,1069,0.8408709489657625,1799.5399999999993,274.27009124554064
transcript_303,6519,1065,9532,854,0.7937089568699887,1798.3200000000006,318.03016148405163
transcript_1092,6292,1260,9581,956,0.8161471402005831,1799.3900000000006,319.474933171797
transcript_465,5534,998,8487,734,0.8012554550591309,1799.0300000000004,283.0525338654719
transcript_4854,4107,1062,6381,837,0.8374439821473134,1799.3700000000003,212.77447106487267
transcript_4698,5573,1056,8361,809,0.8071521748268361,1786.2299999999998,280.848490955812
transcript_4840,6356,1204,9496,885,0.8100124993188791,1799.82,316.56498983231654
transcript_471,5978,1173,8773,898,0.8127241022479584,1797.9000000000003,292.7749040547304
transcript_1938,6308,1314,9528,996,0.8207063842940499,1799.7599999999998,317.6423523136419
transcript_317,6857,1316,10125,1014,0.8131248198691523,1799.89,337.52062626049366
transcript_1086,5209,870,8112,667,0.7908833810176941,1799.6099999999994,270.45859936319545
transcript_3849,5505,898,8130,736,0.7894862139990052,1799.1400000000012,271.12953966895276
transcript_3691,6641,1048,10185,799,0.7902084732037278,1798.1400000000012,339.85117955220375
transcript_4115,5762,1442,8233,1014,0.8400222644433349,1799.0100000000004,274.58435472843394
transcript_2564,5178,931,8081,698,0.7993592213080096,1797.4000000000003,269.75631467675527
transcript_2202,6451,993,9738,750,0.786677859942262,1799.2599999999998,324.7335015506375
transcript_4673,5729,1104,8734,834,0.8097140100887072,1799.6800000000003,291.18509957325745
transcript_2216,5257,1084,8202,841,0.8157062660549016,1797.5400000000006,273.77415801595504
transcript_4667,6653,1135,9262,861,0.7991059007167154,1799.999999999999,308.73333333333346
transcript_3108,5803,1263,9018,951,0.8240408200298188,1799.6999999999994,300.650108351392
transcript_1079,6311,1407,9464,957,0.8284770414247423,1799.2900000000009,315.5911498424377
transcript_4101,6523,1411,9567,1020,0.8256836970639521,1798.62,319.14467758614944
transcript_2570,6615,1542,9693,1134,0.8344613182244875,1799.7399999999996,323.1466767421962
transcript_1051,6328,1115,9615,841,0.8016472644159768,1798.8799999999992,320.6995463844171
transcript_3646,5395,1179,8304,890,0.8230227338550127,1798.39,277.04780386901615
transcript_4129,5412,1356,8590,1010,0.8389926354397077,1799.500000000001,286.41289247013043
transcript_5237,6521,1110,9507,832,0.7983933202516519,1798.3599999999997,317.1889944171357
transcript_2558,6258,1109,9716,780,0.8020501069965374,1799.3999999999987,323.9746582194067
transcript_3120,5720,1475,8421,1025,0.8433478920059652,1799.2900000000002,280.81076424589696
transcript_1737,6023,1322,9404,968,0.8257634883361585,1798.7400000000002,313.6862470395944
transcript_1723,6368,1233,9340,891,0.81255536131935,1798.360000000002,311.61725127338207
transcript_4883,7041,1211,10245,942,0.8013090297148131,1799.6800000000007,341.5607219061165
transcript_3134,6640,1190,9361,925,0.8046603125577517,1799.0500000000002,312.1981045551819
transcript_3652,6317,1028,9443,794,0.792523219173245,1799.0000000000005,314.941634241245
transcript_5223,4851,1069,7161,861,0.8217895718832315,1797.6299999999997,239.0147026918777
transcript_1045,5033,1019,7262,812,0.812618807028805,1797.7300000000002,242.37232509887465
transcript_883,5989,1379,9401,1023,0.831154296355217,1799.73,313.41367871847444
transcript_129,6345,869,9797,627,0.7729316566850337,1799.540000000001,326.6501439256697
transcript_2969,5350,1081,8030,826,0.8137172251686378,1797.59,268.02552306143224
transcript_897,6653,1085,9791,793,0.7939879217316343,1798.7899999999995,326.5862051712541
transcript_667,6207,1143,9357,850,0.8062593130186166,1795.98,312.59813583670194
transcript_1290,6289,1343,9085,997,0.823485275927646,1799.900000000001,302.85015834213
transcript_101,5968,1157,8968,909,0.8113009115287739,1798.4299999999996,299.1942972481554
transcript_2941,5566,1403,8681,1027,0.8402139559756224,1799.3400000000006,289.47280669578834
transcript_3487,6113,1167,8576,892,0.8100540891958755,1798.77,286.0621424640171
transcript_2955,5451,1354,8248,1071,0.8381208689117537,1797.6600000000008,275.29121190881466
transcript_3493,5630,1467,8458,1069,0.8442669047721959,1799.749999999999,281.97249618002513
transcript_1284,6011,1129,9192,833,0.8078160825426486,1798.53,306.6504311854681
transcript_115,6577,1239,9320,950,0.8101227739789969,1799.1100000000008,310.820350061975
transcript_673,6397,1272,9458,911,0.8156874413386958,1798.0800000000008,315.6033101975439
transcript_4471,6333,1248,9092,955,0.8144483527562564,1798.4500000000012,303.32786566209774
transcript_2000,5888,864,9084,667,0.7789227646568652,1796.8000000000006,303.3392698130008
transcript_1509,5641,1219,8568,962,0.8226368341422673,1798.7800000000004,285.79370462202155
transcript_840,5975,1115,9428,854,0.8069391405947236,1798.13,314.59349435246617
transcript_698,6332,1221,9798,900,0.8119643429112033,1798.02,326.9596556211833
transcript_2766,6106,1211,9160,928,0.8144062881095467,1799.2199999999998,305.46570180411516
transcript_5009,6523,1213,9536,874,0.8084685656513356,1799.3100000000009,317.988562282208
transcript_4317,7224,1244,10577,917,0.8020208965225051,1799.6899999999998,352.6273969405843
transcript_3478,6099,1208,8881,930,0.8142288897050017,1799.6500000000017,296.0909065651652
transcript_2772,6216,1114,9154,864,0.803183432494326,1799.4000000000003,305.2350783594531
transcript_4303,6325,1340,9371,966,0.8226927126808937,1799.38,312.4742967021974
transcript_854,6209,1013,9503,743,0.7924050308434896,1798.9,316.96036466729663
transcript_4465,5663,1259,8855,923,0.8260024700477858,1799.89,295.18470573201694
transcript_2014,7412,1256,10927,905,0.8007858815615688,1798.959999999999,364.4439009205321
transcript_1535,5630,1044,8827,784,0.8048776807992964,1798.7000000000005,294.4459887696669
transcript_3322,5794,1202,8675,896,0.8184751720322735,1799.0999999999992,289.3113223278307
transcript_5035,5993,1137,8590,893,0.8089063554049252,1799.6200000000003,286.3937942454518
transcript_2982,6438,1210,9700,891,0.8093953615493793,1799.6299999999987,323.39980996093664
transcript_3444,6464,1245,9492,909,0.8122735222875447,1798.409999999998,316.679733764826
transcript_1253,6683,1023,10196,785,0.7869014616982067,1799.610000000001,339.94032040275374
transcript_1247,6427,1154,9668,849,0.8041489323675488,1799.3600000000006,322.3812911257335
transcript_5021,6720,1116,9699,842,0.7962817217712194,1799.889999999999,323.319758429682
transcript_2996,5131,1102,7830,903,0.8199503915148225,1799.6899999999987,261.04495774272254
transcript_3450,5543,1049,7824,815,0.8068860422265957,1799.86,260.8202860222462
transcript_3336,6457,1195,9970,886,0.8077015850539007,1799.7200000000007,332.3850376725267
transcript_4459,5300,996,8086,787,0.8050583370842201,1797.1899999999996,269.95476271290187
transcript_2028,5624,1079,8397,881,0.8087959457364,1799.16,280.0306809844594
transcript_1521,5687,1043,8522,785,0.8038290740219609,1799.530000000001,284.1408590020726
transcript_868,5061,993,7843,775,0.8090599453145945,1799.7199999999998,261.47400706776614
transcript_1251,6004,1191,8580,889,0.8140690880385998,1797.7000000000007,286.36591199866484
transcript_3446,6474,1281,9560,916,0.8153787241830613,1798.4900000000011,318.9342170376258
transcript_2980,6492,1175,9742,867,0.8052814949054741,1799.1200000000006,324.89216950509126
transcript_4329,6549,1270,9106,955,0.8133284581394944,1799.4500000000016,303.6261079774373
transcript_5037,6356,1118,9091,863,0.8015499362888817,1797.989999999999,303.37209884370895
transcript_2758,6347,1242,9297,997,0.8136925336683567,1799.9900000000005,309.90172167623143
transcript_3320,5834,1308,8844,983,0.8275718348087997,1797.4200000000014,295.22315318623333
transcript_1537,6292,1193,9064,918,0.8099003854495038,1796.9900000000002,302.6394136862197
transcript_1523,5855,931,8680,745,0.788036757334781,1799.2899999999986,289.4475042933604
transcript_3452,6013,1025,9479,774,0.7966793345257567,1799.7700000000002,316.00704534468287
transcript_2994,4966,1153,7585,917,0.8284155152336222,1799.5400000000004,252.89796281271873
transcript_5023,5594,1044,8115,811,0.8054760002229968,1798.8499999999992,270.67292992745377
transcript_1245,6371,991,9878,806,0.7875683888762591,1799.5099999999998,329.35632477730053
transcript_4315,7778,1176,11272,868,0.7891317233136547,1799.9,375.7542085671426
transcript_2764,6472,1055,9581,785,0.7932883524551346,1799.489999999999,319.45717953420154
transcript_842,6954,1235,10381,886,0.8046533358780565,1797.6600000000003,346.48376222422473
transcript_2002,6087,1154,9483,861,0.8091647651298793,1799.9300000000003,316.1122932558488
transcript_4473,5863,1267,8638,990,0.8234283149195554,1798.400000000002,288.18950177935915
transcript_4467,6761,1163,9628,879,0.8004101727138203,1799.7099999999998,320.9850475910008
transcript_3308,6502,1362,9415,964,0.8219613176060535,1799.3300000000004,313.9501925716794
transcript_856,5919,942,8541,755,0.7884027335313422,1797.9300000000012,285.02778194924144
transcript_1279,6776,1187,10063,875,0.8025246850064869,1798.72,335.6720334460061
transcript_4301,6240,1223,8709,901,0.8135115391830354,1799.8500000000013,290.3241936828067
transcript_2770,5960,1064,8898,794,0.8017865378051667,1799.820000000001,296.62966296629645
transcript_3485,6610,971,8996,739,0.7819533240820787,1799.409999999999,299.9649885240164
transcript_2943,5927,1073,8704,834,0.8032685713561715,1798.6199999999997,290.3559395536579
transcript_103,5978,1136,8922,847,0.8090382887528956,1799.1400000000003,297.54215903153727
